,Age,StudyHours,SleepHours,Confidence,TestAnxiety,MockExamScore,GPA,Scholarship,InternshipGrade,ReviewCenter,EnglishProficiency,MotivationScore,SocialSupport,ExamResultPercent
Age,1.0,-0.11083323239541341,0.07640274055046893,0.02092006195847713,0.061084193307196465,-0.06525981736249495,-0.045297377256017325,-0.08979262895532221,-0.14585423511130305,-0.18820242825391362,0.10093969819810214,-0.0419743535938102,0.03889326405536445,-0.20749941671802935
StudyHours,-0.11083323239541341,1.0,-0.1159615267582355,0.09946218132685583,-0.0771055676029897,-0.022711277854172422,0.0028948298971695195,0.08676389671033218,-0.07686573159110638,0.04859584913700092,0.10830199047017909,-0.015804281944280917,-0.001998715417222235,0.18796648871962662
SleepHours,0.07640274055046893,-0.1159615267582355,1.0,0.22808916526974085,-0.05341456763025577,0.14970751831155815,-0.03782070656304031,-0.004663106966007621,0.0021232098106381894,-0.06682250179744237,-0.06618403249343614,0.2661818143494267,0.14931927609136947,-0.17304504112761282
Confidence,0.02092006195847713,0.09946218132685583,0.22808916526974085,1.0,0.07547572665949122,0.013886195714819196,0.028870583259260278,0.02833829296860892,0.06947090719877615,-0.1484903496899699,0.03204256966370266,0.06125057553637948,-0.023066266134393176,-0.027815620180627613
TestAnxiety,0.061084193307196465,-0.0771055676029897,-0.05341456763025577,0.07547572665949122,1.0,0.011884753582216898,-0.04599608184920128,-0.026770305686346606,-0.09204214638865033,0.12211311664652037,0.20609935671634508,-0.007978679204792897,0.05555092703060211,0.17021850513529768
MockExamScore,-0.06525981736249495,-0.022711277854172422,0.14970751831155815,0.013886195714819196,0.011884753582216898,1.0,-0.13381508633601996,0.002457303613787193,-0.017901784980850915,-0.049488899058426336,-0.22551835025730188,-0.09068545026984154,-0.03768199950212069,-0.046897315085932104
GPA,-0.045297377256017325,0.0028948298971695195,-0.03782070656304031,0.028870583259260278,-0.04599608184920128,-0.13381508633601996,1.0,0.0032027058686830887,-0.22381208196337865,0.04890730445500226,0.007056221867927913,0.08539761170944994,-0.12122372758602622,-0.16872845818688173
Scholarship,-0.08979262895532221,0.08676389671033218,-0.004663106966007621,0.02833829296860892,-0.026770305686346606,0.002457303613787193,0.0032027058686830887,1.0,0.13614986093475157,0.06454972243679029,0.01862614053678711,0.14381833954924472,-0.11450374770180434,0.08079522248960797
InternshipGrade,-0.14585423511130305,-0.07686573159110638,0.0021232098106381894,0.06947090719877615,-0.09204214638865033,-0.017901784980850915,-0.22381208196337865,0.13614986093475157,1.0,-0.17634500553066348,-0.02544261022339049,0.08322046571484078,-0.08705051169736275,0.025418940332927624
ReviewCenter,-0.18820242825391362,0.04859584913700092,-0.06682250179744237,-0.1484903496899699,0.12211311664652037,-0.049488899058426336,0.04890730445500226,0.06454972243679029,-0.17634500553066348,1.0,0.16447630919505687,-0.0012953628696590934,0.011371054049421412,0.2313590220787252
EnglishProficiency,0.10093969819810214,0.10830199047017909,-0.06618403249343614,0.03204256966370266,0.20609935671634508,-0.22551835025730188,0.007056221867927913,0.01862614053678711,-0.02544261022339049,0.16447630919505687,1.0,0.20782353710813678,0.05676430478862962,0.17379657236794563
MotivationScore,-0.0419743535938102,-0.015804281944280917,0.2661818143494267,0.06125057553637948,-0.007978679204792897,-0.09068545026984154,0.08539761170944994,0.14381833954924472,0.08322046571484078,-0.0012953628696590934,0.20782353710813678,1.0,-0.0011489120139514335,-0.011195977457325621
SocialSupport,0.03889326405536445,-0.001998715417222235,0.14931927609136947,-0.023066266134393176,0.05555092703060211,-0.03768199950212069,-0.12122372758602622,-0.11450374770180434,-0.08705051169736275,0.011371054049421412,0.05676430478862962,-0.0011489120139514335,1.0,0.04084891637282335
ExamResultPercent,-0.20749941671802935,0.18796648871962662,-0.17304504112761282,-0.027815620180627613,0.17021850513529768,-0.046897315085932104,-0.16872845818688173,0.08079522248960797,0.025418940332927624,0.2313590220787252,0.17379657236794563,-0.011195977457325621,0.04084891637282335,1.0
