Feature,decision_tree_shap,knn_shap,neural_network_shap,random_forest_shap,ridge_shap,svr_shap,avg_shap
Age,0.6307722859001372,0.271769191478746,1.7070689705972557,0.7241110884952567,0.3133234694087045,0.010254385478550909,0.6095498985597751
EnglishProficiency,0.7067592824893901,0.15825310305700085,1.922204764985294,0.4057490256941607,0.2013948870610434,0.028809655225999643,0.5705284530854814
MockExamScore,0.0,0.05823088980748829,3.0607144732115814,0.08937297505322776,0.000516159432373017,0.002437018767561656,0.5352119193787054
TestAnxiety,0.16228168044077235,0.19676961826407993,1.5790528063510363,0.2509425307363555,0.12564491399973585,0.02256596304590758,0.3895429188063146
IncomeLevel,0.0,0.08081346776062805,1.9105270801401182,0.06880783106639633,0.14711879413629425,0.008857166946735991,0.3693540566750288
InternshipGrade,0.40882922296558794,0.055312172429736274,1.4811012870857647,0.12396054818467786,0.03913191875012436,0.0031198199766186794,0.35190916156541824
MotivationScore,0.36457529843893555,0.0785800782717125,1.5477364748453168,0.09111494610933084,0.017902909282749343,0.0012000225310460596,0.3501849549131819
SleepHours,0.0,0.1306868751974264,1.5465125876038213,0.12048915347759417,0.20997285209634017,0.0016623562015955677,0.33488730409612955
StudyHours,0.0,0.11525883922028889,1.4247858897537964,0.13038835218376274,0.11460193065963344,0.004660558849010837,0.29828259511108207
EmploymentStatus,0.0,0.08270265736945057,1.6225040554656538,0.048939751313829355,0.0,0.0026010577936651197,0.2927912536570998
SocialSupport,0.0,0.05492526596812062,1.5472106618430777,0.13159398672273986,0.0,0.009115143098959243,0.29047417627214955
GPA,0.0,0.08669010103586472,1.1497740900195585,0.1071808565710219,0.1307582508340637,0.025576177641255183,0.24999657935029398
Confidence,0.1159043847566576,0.08370973830578383,0.763469073583735,0.07623497600400708,0.009089933579942033,0.004678528274782034,0.17551443908415124
Gender,0.0,0.05062930811586095,0.5696400137913327,0.07328140963079874,0.08197832155294082,0.006714511002381466,0.13037392734888578
Scholarship,0.0,0.08193832996559312,0.6061649639117294,0.020271821953778787,0.00017883886199074076,0.006573246181112279,0.11918786681236739
ReviewCenter,0.0,0.17720477204594431,0.23599919774699207,0.026300489389502083,0.112023879784777,0.00567852447530539,0.09286781057375347
