Type,Model,Raw RMSE,Aug RMSE,RMSE Diff,Raw MAE,Aug MAE,MAE Diff,Raw R2,Aug R2,R2 Diff,Better
Base,KNN,1.7653376238645153,1.8541702337948145,-0.08883260993029918,1.5126216540340693,1.5487535223682334,-0.03613186833416404,-0.09818490671863156,-0.21148802483218376,-0.1133031181135522,Raw Dataset
Base,DECISION_TREE,1.9494031612740363,1.918580259293523,0.030822901980513295,1.5682777777777843,1.5111529232868552,0.05712485449092908,-0.3391315682658589,-0.2971191147316268,0.04201245353423211,Augmented
Base,RANDOM_FOREST,1.841041356579455,1.6846773731154183,0.15636398346403668,1.5015244682005735,1.4010888782903257,0.10043558991024781,-0.19439232774042714,-0.0001229698937592616,0.19426935784666788,Augmented
Base,SVR,1.7317179150949593,1.7503675888819201,-0.018649673786960808,1.5336582880995773,1.4589629732376779,0.0746953148618994,-0.05675476748906605,-0.07963869624139153,-0.022883928752325478,Raw Dataset
Base,RIDGE,1.7625228579778665,1.6628053014748254,0.09971755650304104,1.5553699451254417,1.3677012806222464,0.1876686645031953,-0.09468566779496546,0.025677533153156462,0.12036320094812192,Augmented
Base,NEURAL_NETWORK,12.494571649593368,1.7076596230799905,10.786912026513377,10.052514902179858,1.3887109437192673,8.66380395846059,-54.01266190662532,-0.02759630912483746,53.98506559750048,Augmented
Ensemble,BAGGING NEURAL NETWORK,15.705839580006971,2.419554710175177,13.286284869831794,14.5844912924658,2.0767730117531022,12.507718280712698,-85.92450586396382,-1.0629600103279926,84.86154585363582,Augmented
Ensemble,BAGGING RANDOM FOREST,1.8061527091720024,1.7143082156586071,0.0918444935133953,1.476703556346302,1.4296107667262206,0.047092789620081454,-0.14955260471353982,-0.035613561594174614,0.1139390431193652,Augmented
Ensemble,BOOSTING GRADIENT BOOST,1.8618599696547682,1.7402454997702,0.12161446988456825,1.5541918882435,1.3830152130901563,0.17117667515334367,-0.22155758667451142,-0.06718805310996823,0.1543695335645432,Augmented
Ensemble,STACKING NEURAL RIDGE NEURAL FINAL,5.883443748787619,1.6902093682452441,4.193234380542375,4.647303269023657,1.4304355819054781,3.2168676871181785,-11.19784547070423,-0.00670198536951272,11.191143485334717,Augmented
Ensemble,STACKING NEURAL RIDGE RIDGE FINAL,1.7392928100816862,1.6672686181434604,0.07202419193822585,1.566095718449039,1.36687852563142,0.19921719281761896,-0.06601991819987552,0.020439943249476844,0.08645986144935236,Augmented
Ensemble,STACKING NEURAL ONLY,10.717742799457378,1.692703742919459,9.025039056537919,8.360629488048271,1.4074075773029568,6.953221910745315,-39.47870197994074,-0.009675516213402346,39.46902646372733,Augmented
