Training Data,Type,Model,RMSE,MAE,R2,MSE
Augmented,Base,RIDGE,1.6628053014748254,1.3677012806222464,0.025677533153156462,2.764921470612785
Augmented,Ensemble,STACKING NEURAL RIDGE RIDGE FINAL,1.6672686181434604,1.36687852563142,0.020439943249476844,2.779784645046004
Augmented,Base,RANDOM_FOREST,1.6846773731154183,1.4010888782903257,-0.0001229698937592616,2.8381378514870663
Augmented,Ensemble,STACKING NEURAL RIDGE NEURAL FINAL,1.6902093682452441,1.4304355819054781,-0.00670198536951272,2.8568077085039874
Augmented,Ensemble,STACKING NEURAL ONLY,1.692703742919459,1.4074075773029568,-0.009675516213402346,2.865245961293546
Augmented,Base,NEURAL_NETWORK,1.7076596230799905,1.3887109437192673,-0.02759630912483746,2.916101388297695
Augmented,Ensemble,BAGGING RANDOM FOREST,1.7143082156586071,1.4296107667262206,-0.035613561594174614,2.9388526582745973
Raw Dataset,Base,SVR,1.7317179150949593,1.5336582880995773,-0.05675476748906605,2.9988469374608324
Raw Dataset,Ensemble,STACKING NEURAL RIDGE RIDGE FINAL,1.7392928100816862,1.566095718449039,-0.06601991819987552,3.0251394792018487
Augmented,Ensemble,BOOSTING GRADIENT BOOST,1.7402454997702,1.3830152130901563,-0.06718805310996823,3.0284543994704327
Augmented,Base,SVR,1.7503675888819201,1.4589629732376779,-0.07963869624139153,3.0637866962083065
Raw Dataset,Base,RIDGE,1.7625228579778665,1.5553699451254417,-0.09468566779496546,3.1064868248944664
Raw Dataset,Base,KNN,1.7653376238645153,1.5126216540340693,-0.09818490671863156,3.1164169262316133
Raw Dataset,Ensemble,BAGGING RANDOM FOREST,1.8061527091720024,1.476703556346302,-0.14955260471353982,3.2621876088493638
Raw Dataset,Base,RANDOM_FOREST,1.841041356579455,1.5015244682005735,-0.19439232774042714,3.38943327663592
Augmented,Base,KNN,1.8541702337948145,1.5487535223682334,-0.21148802483218376,3.4379472558907174
Raw Dataset,Ensemble,BOOSTING GRADIENT BOOST,1.8618599696547682,1.5541918882435,-0.22155758667451142,3.466522546602854
Augmented,Base,DECISION_TREE,1.918580259293523,1.5111529232868552,-0.2971191147316268,3.680950211350802
Raw Dataset,Base,DECISION_TREE,1.9494031612740363,1.5682777777777843,-0.3391315682658589,3.8001726851852067
Augmented,Ensemble,BAGGING NEURAL NETWORK,2.419554710175177,2.0767730117531022,-1.0629600103279926,5.854244995530885
Raw Dataset,Ensemble,STACKING NEURAL RIDGE NEURAL FINAL,5.883443748787619,4.647303269023657,-11.19784547070423,34.61491034514812
Raw Dataset,Ensemble,STACKING NEURAL ONLY,10.717742799457378,8.360629488048271,-39.47870197994074,114.87001071532048
Raw Dataset,Base,NEURAL_NETWORK,12.494571649593368,10.052514902179858,-54.01266190662532,156.11432070682233
Raw Dataset,Ensemble,BAGGING NEURAL NETWORK,15.705839580006971,14.5844912924658,-85.92450586396382,246.67339691291357
